"CompraID","FechaCompra","ProveedorID","ProductoID","Cantidad","PrecioCompra"
"63","2024-03-29","23","11","6",NULL
"64","2024-09-10","23","3","19",NULL
"65","2023-05-24","14","25","15",NULL
"66","2024-09-24","4","14","5",NULL
"67","2024-04-20","5","10","1",NULL
"68","2024-08-02","5","23","15",NULL
"69","2023-10-30","5","12","11",NULL
"70","2024-01-04","4","14","18",NULL
"71","2023-03-17","8","17","13",NULL
"72","2023-12-17","8","18","6",NULL
"73","2024-06-15","12","19","5",NULL
"74","2024-11-08","8","17","20",NULL
"75","2023-10-15","23","24","7",NULL
"76","2024-05-20","7","1","3",NULL
"77","2023-02-21","6","5","11",NULL
"78","2024-01-11","6","11","17",NULL
"79","2024-10-01","13","10","7",NULL
"80","2024-05-13","6","5","9",NULL
"81","2024-07-20","6","18","2",NULL
"82","2024-01-17","4","14","1",NULL
"83","2023-08-21","21","8","15",NULL
"84","2024-09-07","15","4","15",NULL
"85","2023-02-26","20","13","17",NULL
"86","2023-06-11","13","10","17",NULL
"87","2023-03-31","11","9","10",NULL
"88","2024-08-25","11","18","4",NULL
"89","2023-04-26","20","13","3",NULL
"90","2023-04-01","10","19","1",NULL
"91","2024-09-27","10","12","17",NULL
"92","2024-07-17","19","7","9",NULL
"93","2024-02-12","21","8","17",NULL
"94","2023-09-23","2","20","15",NULL
"95","2023-04-21","18","24","10",NULL
"96","2023-03-16","2","20","15",NULL
"97","2024-04-12","2","15","3",NULL
"98","2023-11-27","2","18","16",NULL
"99","2024-04-15","2","11","2",NULL
"100","2023-07-21","12","19","4",NULL
"101","2023-03-12","16","21","12",NULL
"102","2023-10-09","14","25","18",NULL
"103","2023-12-11","10","19","18",NULL
"104","2024-11-17","10","23","6",NULL
"105","2023-10-17","4","14","17",NULL
"106","2023-10-13","19","7","18",NULL
"107","2023-12-10","12","19","2",NULL
"108","2023-09-16","8","17","2",NULL
"109","2024-05-05","8","18","19",NULL
"110","2024-09-03","15","4","8",NULL
"111","2024-08-25","15","15","16",NULL
"112","2023-05-11","15","11","8",NULL
"113","2023-10-11","19","7","6",NULL
"114","2023-01-05","10","19","13",NULL
"115","2023-04-09","16","21","3",NULL
"116","2024-02-03","8","17","20",NULL
"117","2023-11-17","8","12","1",NULL
"118","2023-09-03","8","3","7",NULL
"119","2024-08-20","18","24","2",NULL
"120","2023-10-08","20","13","16",NULL
"121","2023-12-08","20","13","4",NULL
"122","2024-02-15","20","11","12",NULL
"123","2024-10-27","8","17","6",NULL
"124","2023-07-11","8","12","11",NULL
"125","2023-06-23","4","14","1",NULL
"126","2023-01-13","5","10","16",NULL
"127","2023-04-04","11","9","17",NULL
"128","2023-11-18","16","21","14",NULL
"129","2023-07-28","8","17","18",NULL
"130","2024-11-03","13","10","11",NULL
"131","2023-02-17","13","12","20",NULL
"132","2024-07-10","13","11","19",NULL
"133","2024-10-09","17","2","17",NULL
"134","2023-04-01","24","9","12",NULL
"135","2024-11-12","24","22","12",NULL
"136","2024-06-13","6","5","14",NULL
"137","2023-11-21","21","8","15",NULL
"138","2024-01-09","9","16","9",NULL
"139","2024-02-25","14","25","5",NULL
"140","2024-10-14","6","5","15",NULL
"141","2024-02-05","6","15","13",NULL
"142","2024-11-10","6","23","6",NULL
"143","2024-10-27","20","13","14",NULL
"144","2023-11-29","20","23","8",NULL
"145","2023-01-21","22","4","1",NULL
"146","2024-11-06","20","13","4",NULL
"147","2024-05-13","3","8","11",NULL
"148","2024-07-08","3","23","16",NULL
"149","2023-02-03","3","3","12",NULL
"150","2023-04-18","20","13","20",NULL
"151","2023-07-04","17","2","16",NULL
"152","2024-06-03","25","10","15",NULL
"153","2023-08-15","17","2","20",NULL
"154","2023-07-03","3","17","14",NULL
"155","2023-11-22","3","7","5",NULL
"156","2024-09-19","7","23","19",NULL
"157","2024-04-28","18","19","15",NULL
"158","2023-12-31","18","11","1",NULL
"159","2024-11-02","13","24","9",NULL
"160","2023-01-14","13","8","7",NULL
"161","2024-03-10","13","24","13",NULL
"162","2024-10-07","20","22","11",NULL
"163","2023-02-14","2","14","19",NULL
"164","2024-11-03","15","5","14",NULL
"165","2024-01-03","4","22","11",NULL
"166","2023-08-30","21","1","20",NULL
"167","2023-03-25","21","7","7",NULL
"168","2024-06-26","22","13","2",NULL
"169","2023-03-06","22","13","14",NULL
"170","2023-06-22","22","21","9",NULL
"171","2024-04-15","22","8","15",NULL
"172","2023-12-18","22","7","4",NULL
"173","2023-08-21","21","1","16",NULL
"174","2023-11-21","25","10","5",NULL
"175","2023-03-10","20","22","5",NULL
"176","2023-02-27","20","7","13",NULL
"177","2023-10-06","22","13","1",NULL
"178","2024-04-19","22","21","19",NULL
"179","2024-05-05","1","3","13",NULL
"180","2024-03-20","10","14","18",NULL
"181","2023-07-16","13","24","2",NULL
"182","2024-01-05","13","6","10",NULL
"183","2024-01-18","5","9","3",NULL
"184","2024-04-20","10","14","8",NULL
"185","2023-12-03","13","24","17",NULL
"186","2023-12-16","13","11","1",NULL
"187","2023-12-11","2","14","1",NULL
"188","2023-12-06","14","4","3",NULL
"189","2023-08-24","14","7","19",NULL
"190","2024-01-23","18","19","11",NULL
"191","2023-07-20","16","16","5",NULL
"192","2024-06-02","1","3","18",NULL
"193","2023-10-10","1","11","15",NULL
"194","2024-01-13","9","15","18",NULL
"195","2023-02-24","5","9","1",NULL
"196","2023-09-02","5","9","16",NULL
"197","2023-03-23","7","23","1",NULL
"198","2024-05-23","9","15","14",NULL
"199","2024-09-12","16","16","3",NULL
"200","2023-12-09","16","6","14",NULL
"201","2024-11-15","19","5","4",NULL
"202","2023-03-25","19","11","5",NULL
"203","2023-04-24","13","24","12",NULL
"204","2023-04-28","1","3","12",NULL
"205","2023-06-26","8","18","5",NULL
"206","2023-12-26","8","21","15",NULL
"207","2024-08-10","24","12","18",NULL
"208","2023-06-23","22","13","18",NULL
"209","2023-03-06","10","14","18",NULL
"210","2024-07-07","17","2","19",NULL
"211","2023-11-30","17","6","2",NULL
"212","2023-06-05","7","23","15",NULL
"213","2023-01-05","19","5","6",NULL
"214","2023-12-28","9","15","12",NULL
"215","2023-05-01","9","21","7",NULL
"216","2024-11-26","15","5","13",NULL
"217","2024-05-22","21","1","11",NULL
"218","2023-08-17","10","14","8",NULL
"219","2023-07-16","8","18","8",NULL
"220","2023-05-14","20","22","15",NULL
"221","2023-04-25","5","9","19",NULL
"222","2024-03-12","6","18","2",NULL
"223","2024-03-13","22","13","7",NULL
"224","2023-09-22","16","16","2",NULL
"225","2023-03-18","16","8","7",NULL
"226","2023-12-30","17","2","4",NULL
"227","2023-12-13","16","16","17",NULL
"228","2024-02-10","16","21","4",NULL
"229","2024-03-24","20","22","12",NULL
"230","2024-07-03","20","7","8",NULL
"231","2024-04-27","17","2","17",NULL
"232","2023-03-25","16","16","10",NULL
"233","2023-11-19","22","13","10",NULL
"234","2023-03-03","5","9","8",NULL
"235","2023-10-30","9","15","17",NULL
"236","2024-10-01","10","14","11",NULL
"237","2023-12-11","10","7","11",NULL
"238","2024-04-01","4","22","4",NULL
"239","2024-03-17","15","5","7",NULL
"240","2024-08-22","8","18","15",NULL
"241","2024-05-05","9","15","8",NULL
"242","2024-06-17","7","23","15",NULL
"243","2023-02-26","18","19","1",NULL
"244","2023-09-21","18","19","11",NULL
"245","2023-06-28","6","18","13",NULL
"246","2024-10-14","17","2","17",NULL
"247","2024-11-12","8","18","6",NULL
"248","2024-07-01","8","11","13",NULL
"249","2024-11-13","21","1","17",NULL
"250","2024-01-29","19","5","8",NULL
"251","2023-04-14","13","24","11",NULL
"252","2024-08-21","13","11","14",NULL
"253","2024-01-22","17","2","6",NULL
"254","2024-11-14","11","25","18",NULL
"255","2023-08-10","15","5","7",NULL
"256","2024-09-22","5","9","20",NULL
"257","2023-04-12","19","5","1",NULL
"258","2023-10-11","8","18","13",NULL
"259","2023-07-22","21","1","14",NULL
"260","2024-07-02","21","6","5",NULL
"261","2023-01-06","16","16","12",NULL
"262","2023-10-10","11","25","2",NULL
"263","2023-06-07","25","10","17",NULL
"264","2024-05-19","18","19","20",NULL
"265","2024-02-14","18","8","17",NULL
"266","2023-03-29","7","23","11",NULL
"267","2024-01-29","25","10","4",NULL
"268","2024-10-21","16","16","1",NULL
"269","2024-10-12","3","17","10",NULL
"270","2023-06-03","3","11","18",NULL
"271","2023-03-21","3","11","3",NULL
"272","2023-03-05","3","20","16",NULL
"273","2023-02-21","25","10","4",NULL
"274","2024-04-01","22","13","13",NULL
"275","2024-04-19","3","17","6",NULL
"276","2023-03-21","3","17","16",NULL
"277","2024-07-21","25","10","8",NULL
"278","2024-02-23","25","6","19",NULL
"279","2023-07-31","25","21","4",NULL
"280","2023-04-15","25","10","19",NULL
"281","2023-03-02","25","10","2",NULL
"282","2024-08-10","1","3","13",NULL
"283","2023-05-07","1","7","4",NULL
"284","2023-10-29","7","23","3",NULL
"285","2024-11-07","15","5","5",NULL
"286","2023-10-09","1","3","12",NULL
"287","2023-08-02","23","4","9",NULL
"288","2024-02-27","19","5","12",NULL
"289","2024-02-21","19","20","11",NULL
"290","2023-12-09","11","25","12",NULL
"291","2024-05-01","4","22","2",NULL
"292","2023-12-08","16","16","14",NULL
"293","2024-02-03","15","5","7",NULL
"294","2023-02-15","3","17","18",NULL
"295","2024-05-26","7","23","3",NULL
"296","2023-09-29","7","23","7",NULL
"297","2023-07-17","18","19","14",NULL
"298","2024-06-12","11","25","9",NULL
"299","2023-03-05","17","2","8",NULL
"300","2024-03-12","13","24","9",NULL
